Day Index,Quantity,Impressions,Clicks,Day,Month,Year,Day of Week,Weekend,December,January,February,March,April,May,June,is monday,is tuesday,is wednesday,is thursday,is friday,is saturday,is sunday,Quantity per Impressions,Quantity per Clicks,Quantity_lag1,Impressions_lag1,Clicks_lag1,Quantity 7-day MA,Impressions 7-day MA,Clicks 7-day MA
2022-01-21,24,1681,434,21,1,2022,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.014277215942891136,0.055299539170506916,18.0,1175.0,431.0,17.142857142857142,1571.7142857142858,408.57142857142856
2022-01-22,13,963,385,22,1,2022,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.013499480789200415,0.033766233766233764,24.0,1681.0,434.0,17.428571428571427,1433.142857142857,406.57142857142856
2022-01-23,14,783,444,23,1,2022,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.017879948914431672,0.03153153153153153,13.0,963.0,385.0,17.142857142857142,1265.142857142857,411.0
2022-01-24,26,1040,425,24,1,2022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.025,0.0611764705882353,14.0,783.0,444.0,18.142857142857142,1172.4285714285713,411.0
2022-01-25,12,968,384,25,1,2022,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.012396694214876033,0.03125,26.0,1040.0,425.0,17.571428571428573,1093.0,413.2857142857143
2022-01-26,18,874,369,26,1,2022,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.020594965675057208,0.04878048780487805,12.0,968.0,384.0,17.857142857142858,1069.142857142857,410.2857142857143
2022-01-27,12,942,375,27,1,2022,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.012738853503184714,0.032,18.0,874.0,369.0,17.0,1035.857142857143,402.2857142857143
2022-01-28,13,761,407,28,1,2022,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.017082785808147174,0.03194103194103194,12.0,942.0,375.0,15.428571428571429,904.4285714285714,398.42857142857144
2022-01-29,14,1447,401,29,1,2022,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.009675190048375951,0.034912718204488775,13.0,761.0,407.0,15.571428571428571,973.5714285714286,400.7142857142857
2022-01-30,9,1188,424,30,1,2022,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.007575757575757576,0.02122641509433962,14.0,1447.0,401.0,14.857142857142858,1031.4285714285713,397.85714285714283
2022-01-31,15,1259,443,31,1,2022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.011914217633042097,0.033860045146726865,9.0,1188.0,424.0,13.285714285714286,1062.7142857142858,400.42857142857144
2022-02-01,25,1043,460,1,2,2022,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.023969319271332695,0.05434782608695652,15.0,1259.0,443.0,15.142857142857142,1073.4285714285713,411.2857142857143
2022-02-02,13,1146,444,2,2,2022,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.011343804537521814,0.02927927927927928,25.0,1043.0,460.0,14.428571428571429,1112.2857142857142,422.0
